n_e_cm3,R_Te15800,R_Te17300,R_Te18800
2.951209226666387053e+02,7.714927641913658929e-02,6.693474230564372407e-02,5.947679499407469705e-02
3.019951720402016235e+02,7.621769788165004555e-02,6.614125805239584599e-02,5.878348491622660543e-02
3.090295432513592004e+02,7.528478794826540255e-02,6.534632370958504133e-02,5.808865964700352102e-02
3.162277660168379612e+02,7.435081505121664269e-02,6.455016578486591494e-02,5.739251516123236585e-02
3.235936569296284233e+02,7.341604967468559617e-02,6.375301287072379641e-02,5.669524951623141490e-02
3.311311214825910838e+02,7.248076406966054430e-02,6.295509540755959976e-02,5.599706265014935125e-02
3.388441561392027666e+02,7.154523196379539152e-02,6.215664544179886480e-02,5.529815617541189443e-02
3.467368504525316553e+02,7.060972826687879345e-02,6.135789637952255432e-02,5.459873316769195406e-02
3.548133892335756627e+02,6.967452877253704768e-02,6.055908273613101744e-02,5.389899795083119560e-02
3.630780547701014029e+02,6.873990985681416310e-02,5.976043988257180584e-02,5.319915587816115288e-02
3.715352290971724187e+02,6.780614817428137764e-02,5.896220378867345069e-02,5.249941311068311717e-02
3.801893963205612863e+02,6.687352035234227221e-02,5.816461076414036063e-02,5.179997639258078490e-02
3.890451449942804629e+02,6.594230268440665066e-02,5.736789719777461022e-02,5.110105282454965869e-02
3.981071705534973262e+02,6.501277082261133766e-02,5.657229929549683484e-02,5.040284963543664731e-02
4.073802778041126089e+02,6.408519947077205570e-02,5.577805281774587953e-02,4.970557395269117190e-02
4.168693834703354923e+02,6.315986207824801635e-02,5.498539281683915286e-02,4.900943257213408871e-02
4.265795188015925419e+02,6.223703053540179109e-02,5.419455337487918967e-02,4.831463172755569302e-02
4.365158322401661053e+02,6.131697487133176694e-02,5.340576734278851961e-02,4.762137686065413128e-02
4.466835921509630225e+02,6.039996295454725522e-02,5.261926608105559761e-02,4.692987239182797726e-02
4.570881896148752048e+02,5.948626019724823077e-02,5.183527920276626011e-02,4.624032149233237021e-02
4.677351412871981324e+02,5.857612926386017438e-02,5.105403431949152165e-02,4.555292585830660740e-02
4.786300923226385180e+02,5.766982978445858027e-02,5.027575679059038960e-02,4.486788548717371428e-02
4.897788193684461362e+02,5.676761807370488133e-02,4.950066947647795146e-02,4.418539845690645090e-02
5.011872336272724624e+02,5.586974685589408962e-02,4.872899249639427860e-02,4.350566070864387430e-02
5.128613839913648462e+02,5.497646499669658210e-02,4.796094299119534748e-02,4.282886583313268158e-02
5.248074602497728165e+02,5.408801724215187706e-02,4.719673489167095642e-02,4.215520486145392376e-02
5.370317963702526640e+02,5.320464396545071528e-02,4.643657869287542289e-02,4.148486606048262804e-02
5.495408738576247742e+02,5.232658092201326189e-02,4.568068123493709137e-02,4.081803473351075517e-02
5.623413251903490391e+02,5.145405901334627885e-02,4.492924549079221203e-02,4.015489302644843772e-02
5.754399373371572892e+02,5.058730406013091374e-02,4.418247036126356914e-02,3.949561973999800302e-02
5.888436553555890214e+02,4.972653658496576506e-02,4.344055047788312335e-02,3.884039014817752822e-02
6.025595860743580943e+02,4.887197160515485000e-02,4.270367601382950296e-02,3.818937582354798438e-02
6.165950018614821602e+02,4.802381843590174809e-02,4.197203250332781632e-02,3.754274446947774430e-02
6.309573444801936830e+02,4.718228050423522307e-02,4.124580066982949655e-02,3.690065975975369977e-02
6.456542290346556001e+02,4.634755517396011576e-02,4.052515626326402137e-02,3.626328118582636956e-02
6.606934480075957481e+02,4.551983358189187062e-02,3.981026990662429182e-02,3.563076391195019871e-02
6.760829753919819041e+02,4.469930048559901670e-02,3.910130695211953833e-02,3.500325863845721308e-02
6.918309709189362593e+02,4.388613412284388116e-02,3.839842734709965344e-02,3.438091147337517250e-02
7.079457843841380509e+02,4.308050608287578020e-02,3.770178550992490940e-02,3.376386381257649727e-02
