n_e_cm3,R_Te15800,R_Te17300,R_Te18800
1.995262314968879735e+01,1.425960799909210541e-01,1.219342607072114448e-01,1.069613376492832141e-01
2.041737944669529625e+01,1.424059689252235861e-01,1.217765349109788536e-01,1.068267085408629857e-01
2.089296130854039646e+01,1.422119021419138152e-01,1.216155154205311173e-01,1.066892591770682852e-01
2.137962089502232388e+01,1.420138079874460613e-01,1.214511420434302297e-01,1.065489376189271836e-01
2.187761623949553069e+01,1.418116139864776526e-01,1.212833538715792775e-01,1.064056912909664837e-01
2.238721138568340052e+01,1.416052468550233756e-01,1.211120892909132718e-01,1.062594669885461307e-01
2.290867652767773421e+01,1.413946325149673111e-01,1.209372859921861165e-01,1.061102108861049914e-01
2.344228815319922532e+01,1.411796961099825998e-01,1.207588809828965964e-01,1.059578685463561654e-01
2.398832919019491072e+01,1.409603620229153143e-01,1.205768106004008605e-01,1.058023849304714215e-01
2.454708915685031201e+01,1.407365538946868944e-01,1.203910105262549490e-01,1.056437044092932848e-01
2.511886431509580930e+01,1.405081946447702679e-01,1.202014158018366446e-01,1.054817707756155604e-01
2.570395782768863313e+01,1.402752064932976939e-01,1.200079608452921109e-01,1.053165272575737749e-01
2.630267991895381385e+01,1.400375109848549238e-01,1.198105794698566678e-01,1.051479165331852539e-01
2.691534803926915487e+01,1.397950290140207164e-01,1.196092049035970412e-01,1.049758807460827587e-01
2.754228703338166184e+01,1.395476808527095769e-01,1.194037698106245049e-01,1.048003615224823992e-01
2.818382931264453362e+01,1.392953861793726766e-01,1.191942063138279884e-01,1.046212999894294143e-01
2.884031503126605855e+01,1.390380641101193748e-01,1.189804460191761920e-01,1.044386367943642979e-01
2.951209226666385632e+01,1.387756332318134389e-01,1.187624200416385611e-01,1.042523121260531677e-01
3.019951720402016093e+01,1.385080116372033043e-01,1.185400590327745640e-01,1.040622657369249804e-01
3.090295432513590512e+01,1.382351169621437448e-01,1.183132932100401380e-01,1.038684369668590179e-01
3.162277660168379256e+01,1.379568664249658794e-01,1.180820523878615830e-01,1.036707647684669414e-01
3.235936569296282528e+01,1.376731768680516110e-01,1.178462660105240589e-01,1.034691877339116717e-01
3.311311214825911264e+01,1.373839648016674519e-01,1.176058631869251608e-01,1.032636441233055619e-01
3.388441561392025392e+01,1.370891464501134416e-01,1.173607727272391460e-01,1.030540718947318968e-01
3.467368504525316553e+01,1.367886378002393932e-01,1.171109231815402330e-01,1.028404087359306163e-01
3.548133892335754780e+01,1.364823546523797060e-01,1.168562428804296172e-01,1.026225920976889666e-01
3.630780547701014171e+01,1.361702126737589780e-01,1.165966599777124024e-01,1.024005592289793098e-01
3.715352290971726035e+01,1.358521274544136626e-01,1.163321024951662341e-01,1.021742472138819635e-01
3.801893963205612437e+01,1.355280145656787838e-01,1.160624983694447804e-01,1.019435930103325116e-01
3.890451449942806761e+01,1.351977896212809005e-01,1.157877755011557930e-01,1.017085334907297522e-01
3.981071705534973404e+01,1.348613683410796737e-01,1.155078618061512741e-01,1.014690054844407663e-01
4.073802778041127937e+01,1.345186666174959245e-01,1.152226852690663300e-01,1.012249458222365950e-01
4.168693834703355350e+01,1.341696005846604034e-01,1.149321739991409769e-01,1.009762913826904862e-01
4.265795188015927408e+01,1.338140866903144710e-01,1.146362562883533887e-01,1.007229791405687136e-01
4.365158322401661195e+01,1.334520417704913309e-01,1.143348606718953692e-01,1.004649462172423069e-01
4.466835921509632357e+01,1.330833831269988277e-01,1.140279159910128626e-01,1.002021299331435356e-01
4.570881896148751622e+01,1.327080286077237103e-01,1.137153514582328467e-01,9.993446786229137624e-02
4.677351412871981040e+01,1.323258966897717104e-01,1.133970967249954692e-01,9.966189788890365830e-02
4.786300923226382764e+01,1.319369065654497353e-01,1.130730819517034441e-01,9.938435826611351220e-02
4.897788193684461078e+01,1.315409782310960896e-01,1.127432378801981327e-01,9.910178767680175027e-02
5.011872336272722350e+01,1.311380325787527279e-01,1.124074959086678593e-01,9.881412529655579646e-02
5.128613839913648320e+01,1.307279914906727680e-01,1.120657881689860469e-01,9.852131085875824590e-02
5.248074602497725749e+01,1.303107779366456387e-01,1.117180476064756900e-01,9.822328472180764936e-02
5.370317963702527209e+01,1.298863160741172140e-01,1.113642080620868419e-01,9.791998793846624916e-02
5.495408738576245611e+01,1.294545313510754303e-01,1.110042043569716141e-01,9.761136232732786633e-02
5.623413251903490817e+01,1.290153506116615834e-01,1.106379723794317649e-01,9.729735054639014613e-02
5.754399373371569482e+01,1.285687022044618710e-01,1.102654491742102311e-01,9.697789616871452245e-02
5.888436553555889930e+01,1.281145160934243910e-01,1.098865730340892327e-01,9.665294376014670064e-02
6.025595860743577958e+01,1.276527239713365069e-01,1.095012835937502066e-01,9.632243895906955622e-02
6.165950018614822170e+01,1.271832593757906138e-01,1.091095219258462340e-01,9.598632855814959175e-02
6.309573444801932851e+01,1.267060578075551724e-01,1.087112306392249983e-01,9.564456058803486038e-02
6.456542290346556001e+01,1.262210568512575348e-01,1.083063539792368107e-01,9.529708440295389660e-02
6.606934480075960892e+01,1.257281962982766954e-01,1.078948379300515154e-01,9.494385076815790858e-02
6.760829753919819041e+01,1.252274182717317830e-01,1.074766303188995215e-01,9.458481194914356016e-02
6.918309709189365719e+01,1.247186673534409762e-01,1.070516809221431775e-01,9.421992180258208227e-02
